datetime,timestamp_desc,source,event,message,parser,display_name,tag
2018-06-14T22:50:36.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:36.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:36.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:36.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:36.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:36.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:50.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:52.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:52.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:52.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:52.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:52.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:54.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:54.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:50:54.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:51:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:51:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:51:36.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:51:36.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:52:46.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:52:46.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:55:02.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:55:22.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:55:38.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:55:38.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:56:54.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:59:04.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T22:59:06.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T23:52:34.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T23:52:42.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T23:52:50.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T23:52:50.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T23:52:50.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T23:52:52.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T23:52:52.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T23:53:04.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-14T23:53:12.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
